registro,padre_irr,madre_irr,abuelo_paterno_irr,abuela_paterna_irr,abuelo_materno_irr,abuela_materna_irr,nombre,criadero
102784,0.2502572369559719,,,,0.49122807017543857,,CHAMUCO,EL CORRALERO DE ILLAPEL
102788,0.0590718599778133,,,,,,AZABACHE,PELEHUE
102790,0.1578947368421052,,0.08341907898532397,,,,REVOLTOSO,PELEHUE
102803,0.0526315789473684,,,,,,REPARO,LA PANCORA
102825,0.690130503705414,,0.41172603640248157,,,,INTRUSO,ÃA PATO
102826,0.34424383766304767,,,,1.4240930194338306,,ON PIPE,MILAGRO
102867,0.0526315789473684,,,,,,MANANTIAL,CUATRO ALAMOS
102870,1.1032549848770727,,1.0554702600493306,,1.2576181160827256,,SOBERANO,EL MILAGRO
102888,0.24990755577468257,,,,0.0526315789473684,,SEMILLERO,ÃAQUE
102896,0.08852288094900446,,,,0.12512861847798595,,MAS QUE BUENO,EL TRAPICHE
102904,0.3952400713718041,,,,0.5574078639221004,,PIPEÃO,EL TRAPICHE T
102908,0.5764742878634165,,0.0590718599778133,,0.2808800487380552,,AHUMADO,EL TRAPICHE
102916,0.6847078396687344,,0.1052631578947368,,0.7575701548954353,,ZUECO,SAN DANIEL II
102920,0.0526315789473684,,,,,,CAPRICHO,LA ROTONDA
102923,0.1403508771929824,,,,,,DON EMILIANO,PELARCO VIEJO
102934,0.0526315789473684,,,,0.12512861847798595,,ADIOS SEGUNDO,LA FORTUNA
102960,0.1052631578947368,,,,,,MONARCA,PIEDRERO
102966,0.7682104217373732,,0.5926296745189918,,0.7694286711562028,,GUIRIADO,HUALEMU
102981,0.14464439787994568,,0.0526315789473684,,,,TOPONCITO,EL NARANJILLO
102988,1.2998670669544965,,0.46445299431247894,,0.1772155799334401,,CACHITO,LAS TRILLAS DE LA TORINA
102989,0.0526315789473684,,,,,,PISTILO,DON SATA
102992,0.1707752989029952,,,,,,PICHANGUERO,LOS PINGOS
102996,0.1403508771929824,,,,0.56619446743322,,MANDATARIO,CAMPANAL
103005,1.4556787074387307,,,,0.427440127136406,,BARRILETE,HUALEMU
103012,0.0526315789473684,,0.0590718599778133,,,,RAMONEO,QUILLAYAL
103027,0.0526315789473684,,,,0.7658885549308327,,REGUAPO,LOS FRESNOS
103032,0.419573523973869,,0.1052631578947368,,0.1578947368421052,,JUANQUILLAR II,JUNQUILLAR
103033,0.3354245935175629,,,,,,JUNQUILLAR I,JUNQUILLAR
103045,0.1052631578947368,,,,0.5445273018612105,,CHUECO,EL MURDO
103058,0.2169665968199186,,,,1.0689705031810297,,CHAMPAÃAZO,NORTE GRANDE
103069,0.4503677225851514,,,,,,PLEBISCITO,ROMANE
103077,0.2548799152535299,,0.16683815797064794,,0.0526315789473684,,PARIENTE,EL ABOLENGO
103099,0.0590718599778133,,,,,,AFRICANO,TALCUNA
103107,0.33416566533407843,,0.250257236955972,,0.5072055827064343,,LUCERO,PELUMPEN
103113,0.2169665968199186,0.8586173911642473,,0.4992234685073338,,,BANDOLERA,RANCHO CHICO
103158,0.08341907898532397,,,,,,PEHUAL,COVADONGA
103175,0.36940292968705973,,,,0.6751063891072878,,PIMENTON,DON GUILLERMO
103222,0.17973211717819135,,0.6024555518826625,,0.597475863595749,,PLUMARIO,SANTA ELBA
103224,0.0526315789473684,,,,,,INDIO MAULA,SANTA ELBA
103225,4.134969538646842,,2.1788053617121013,,1.616388367960459,,CADEJO,SANTA ELBA
103227,0.7009496315478587,,0.3591953257596987,,0.47257487982250707,,CIPRES,SANTA ELBA
103232,0.2136514994269905,,,,0.8563304328211969,,COMEDIANTE,SANTA ELBA
103239,0.0590718599778133,,,,,,PASCUALITO,EL TORITO
103256,0.08341907898532397,,0.0526315789473684,,0.0526315789473684,,GOTERON,HUELEQUEN
103261,0.16683815797064794,,,,,,HUILLIN,HUELEQUEN
103264,0.3664765029371962,,,,,,HARAGAN,HUELEQUEN
103271,0.1052631578947368,,1.4770008248869335,,0.3222297547146555,,HUIRILIN,HUELEQUEN
103278,0.3608714408973252,,0.1578947368421052,,1.9313823545798638,,CAMINANTE,MUTICURA
103279,0.0526315789473684,,,,,,CAMINITO,MUTICURA
103297,0.18704858012015546,,,,0.2593673531359141,,RENEGADO,LOS TORUNOS
103319,0.08852288094900446,,,,,,MALASANGRE,RINCONCITO ILLAPELINO
103347,0.304551121752243,,,,0.0526315789473684,,FAROLITO,LA MARQUESA
103374,0.13023242044166652,,,,,,POCA PENA,RETUPIDO
103376,0.2757762467743747,,,,0.1117034389251818,,NA' QUE VER,LAS HORQUETAS DEL ESCORIAL
103381,0.5608809736928927,,,,0.8807042827750334,,ENGAVILLAO,MORENITA DE BIO BIO
103447,0.1052631578947368,,,,,,TORRECILLANO,PAINE LTDA.
103456,0.0526315789473684,,,,0.18214956386168954,,FATALITO,CASAS DEL MILAGRO
103463,0.08341907898532397,,,,,,MAMARRACHO,EL SAUQUITO
103464,0.4074325157155183,,,,,,RIENDERO,EL SAUQUITO
103485,1.3189379480203625,,,,1.1443230397312993,,CHAPALELE,LA ESPERANZA
103489,0.12594520920206692,,,,0.12512861847798595,,ESCUDO,CADENAS DE LINDEROS
103490,0.08341907898532397,,,,,,BUEN PERFUME EN DOMINGO,CANTERAS DEL MAULE
103491,1.1929297614145644,,0.1707752989029952,,1.1159161499213122,,ARRULLO,CACHIPIVIL
103496,0.4009048652523607,,,,0.7131159088200911,,VANIDOSO II,CACHIPIVIL
103523,0.5620080646581325,,,,,,ARRECHUNCHAMELO,HUASO HILARIO
103542,0.25420107646164586,,,,1.003112288919019,,VIEJO PERRO,RIO CHOAPA
103594,0.0526315789473684,,,,,,CONDENADO,LA MAÃA
103652,0.10955667858170005,,,,,,CHACOLI,PALMERIA ADENTRO
103664,0.0719524220387033,,,,,,HASTA CUANDO,EL AGUILA DE PARRAL
103687,0.13023242044166652,,,,,,RICO AMIGO,LAS CHILCAS
103695,0.0526315789473684,,,,0.5200505579834485,,GUAPO,VENTISQUERO
