registro,v1,v2_v6,v7,v8,v1_norm,v2_v6_norm,v7_norm,v8_norm,IRD
143509,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143511,2,1.0,0.0,0.0,0.10526315789473684,0.00117096018735363,0.0,0.0,0.11170343892518181
143514,4,2.0,0.0,0.0,0.21052631578947367,0.00234192037470726,0.0,0.0,0.22340687785036362
143518,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143519,5,9.0,0.0,0.0,0.2631578947368421,0.01053864168618267,0.0,0.0,0.3211204240108468
143526,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143530,2,6.0,0.0,0.0,0.10526315789473684,0.00702576112412178,0.0,0.0,0.1439048440774066
143537,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143541,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143545,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143550,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143552,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143555,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143557,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143566,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143572,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143577,4,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.21052631578947367
143584,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143585,3,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525
143588,2,7.0,0.0,0.0,0.10526315789473684,0.00819672131147541,0.0,0.0,0.1503451251078516
143589,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143590,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143591,4,5.0,0.0,0.0,0.21052631578947367,0.00585480093676815,0.0,0.0,0.2427277209416985
143596,3,1.0,0.0,0.0,0.15789473684210525,0.00117096018735363,0.0,0.0,0.16433501787255025
143599,10,5.0,0.0,0.0,0.5263157894736842,0.00585480093676815,0.0,0.0,0.5585171946259091
143603,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143605,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143608,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143614,2,3.0,0.0,0.0,0.10526315789473684,0.00351288056206089,0.0,0.0,0.12458400098607174
143617,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143620,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143623,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143625,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143630,5,8.0,0.0,0.0,0.2631578947368421,0.00936768149882904,0.0,0.0,0.3146801429804018
143631,2,8.0,0.0,0.0,0.10526315789473684,0.00936768149882904,0.0,0.0,0.15678540613829656
143632,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143636,3,1.0,0.0,0.0,0.15789473684210525,0.00117096018735363,0.0,0.0,0.16433501787255025
143638,5,1.0,0.0,0.0,0.2631578947368421,0.00117096018735363,0.0,0.0,0.26959817576728706
143640,5,9.0,0.0,0.0,0.2631578947368421,0.01053864168618267,0.0,0.0,0.3211204240108468
143641,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143644,2,21.0,0.0,0.0,0.10526315789473684,0.02459016393442623,0.0,0.0,0.2405090595340811
143645,4,20.0,0.0,0.0,0.21052631578947367,0.0234192037470726,0.0,0.0,0.339331936398373
143648,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143649,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143651,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143654,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143658,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143661,3,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525
143662,8,16.0,0.0,0.0,0.42105263157894735,0.01873536299765808,0.0,0.0,0.5240971280660668
143663,3,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525
143664,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143666,5,1.0,0.0,0.0,0.2631578947368421,0.00117096018735363,0.0,0.0,0.26959817576728706
143668,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143671,6,3.0,0.0,0.0,0.3157894736842105,0.00351288056206089,0.0,0.0,0.3351103167755454
143672,4,14.0,0.0,0.0,0.21052631578947367,0.01639344262295082,0.0,0.0,0.3006902502157032
143675,3,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525
143676,1,3.0,0.0,0.0,0.05263157894736842,0.00351288056206089,0.0,0.0,0.0719524220387033
143678,3,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525
143680,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143684,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143685,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143688,2,4.0,0.0,0.0,0.10526315789473684,0.00468384074941452,0.0,0.0,0.1310242820165167
143691,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143693,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143696,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143697,7,5.0,0.0,0.0,0.3684210526315789,0.00585480093676815,0.0,0.0,0.4006224577838038
143704,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143706,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143713,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143717,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143721,4,4.0,0.0,0.0,0.21052631578947367,0.00468384074941452,0.0,0.0,0.23628743991125353
143723,4,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.21052631578947367
